2026/06/16 08:35更新,#genre#
4K频道,#genre#
云南4K频道,http://106.59.2.85:55555/rtp/239.200.200.178:8884
华数4K,http://220.176.218.173:9000/udp/239.252.220.212:5140
爱上4K,http://115.171.216.32:4000/rtp/225.1.8.80:2000
上海欢笑剧场4K,http://112.192.73.197:8484/rtp/239.0.0.201:5140
广东4K超高清,http://113.119.24.33:58888/udp/239.77.0.245:5146
绚影4K,http://171.213.239.229:8188/udp/239.94.1.150:5140
4K乐享超清,http://171.213.239.229:8188/udp/239.94.1.162:5140
数字频道,#genre#
CHC影迷电影,http://106.59.2.85:55555/rtp/239.200.201.34:8148
CHC动作电影,http://106.59.2.85:55555/rtp/239.200.201.31:8144
CHC家庭影院,http://106.59.2.85:55555/rtp/239.200.201.30:8140
劲爆电影,http://116.2.169.182:4010/rtp/232.0.0.155:1234
梨园频道,http://106.59.2.85:55555/rtp/239.200.200.101:8048
华数谍战剧场,http://112.19.88.97:8899/rtp/239.10.0.123:5140
红色影院,http://171.213.239.229:8188/udp/239.93.1.176:5140
IPTV经典电影,http://115.171.216.32:4000/rtp/225.1.8.203:9024
华语影院,http://171.213.239.229:8188/udp/239.94.1.22:5140
华数魅力时尚,http://115.171.216.32:4000/rtp/225.1.8.204:9012
IPTV热播剧场,http://115.171.216.32:4000/rtp/225.1.8.202:9020
华数影视,http://112.109.206.208:9999/rtp/239.255.40.159:8208
华数星影,http://115.171.216.32:4000/rtp/225.1.8.254:4120
华数电影,http://106.59.2.85:55555/udp/239.200.200.77:9016
华数爱电影,http://219.156.95.119:4022/rtp/225.1.4.6:1035
华数喜剧影院,http://115.171.216.32:4000/rtp/225.1.8.251:4120
华数怀旧电影,http://116.2.169.182:4010/rtp/232.0.0.48:1234
华数武侠剧场,http://115.171.216.32:4000/rtp/225.1.8.250:4120
华数少儿动画,http://115.171.216.32:4000/rtp/225.1.8.207:9000
华数动画,http://115.171.216.32:4000/rtp/225.1.8.240:4120
华数军旅剧场,http://115.171.216.32:4000/rtp/225.1.8.228:4120
华数家庭影院,http://115.171.216.32:4000/rtp/225.1.8.253:4120
华数古装剧场,http://115.171.216.32:4000/rtp/225.1.8.229:4120
华数动作影院,http://115.171.216.32:4000/rtp/225.1.8.252:4120
华数碟战剧场,http://124.112.189.64:4022/udp/238.1.78.2:7920
华数城市剧场,http://115.171.216.32:4000/rtp/225.1.8.227:4120
华数精选,http://115.171.216.32:4000/rtp/225.1.8.234:4120
家庭影院,http://124.112.189.64:4022/udp/238.1.78.14:4016
经典剧场,http://171.213.239.229:8188/udp/239.94.1.49:5140
爱大剧,http://219.156.95.119:4022/rtp/225.1.4.8:1037
IPTV法治,http://124.112.189.64:4022/udp/238.1.78.5:7944
IPTV地理,http://115.171.216.32:4000/rtp/225.1.8.231:4120
IPTV相声小品,http://124.112.189.64:4022/udp/238.1.78.3:7928
IPTV野外,http://124.112.189.64:4022/udp/238.1.78.4:7936
IPTV足球,http://115.171.216.32:4000/rtp/225.1.8.249:4120
IPTV早教,http://115.171.216.32:4000/rtp/225.1.8.239:4120
IPTV音乐现场,http://115.171.216.32:4000/rtp/225.1.8.230:4120
IPTV戏曲,http://115.171.216.32:4000/rtp/225.1.8.238:4120
IPTV武术,http://115.171.216.32:4000/rtp/225.1.8.247:4120
IPTV高网,http://115.171.216.32:4000/rtp/225.1.8.248:4120
IPTV台球,http://115.171.216.32:4000/rtp/225.1.8.245:4120
IPTV收视指南,http://115.171.216.32:4000/rtp/225.1.8.201:8012
IPTV鉴赏,http://115.171.216.32:4000/rtp/225.1.8.242:4120
IPTV墨宝,http://115.171.216.32:4000/rtp/225.1.8.243:4120
IPTV美人,http://115.171.216.32:4000/rtp/225.1.8.233:4120
IPTV军事,http://115.171.216.32:4000/rtp/225.1.8.236:4120
IPTV解密,http://115.171.216.32:4000/rtp/225.1.8.235:4120
IPTV美妆,http://115.171.216.32:4000/rtp/225.1.8.232:4120
IPTV好学生,http://115.171.216.32:4000/rtp/225.1.8.241:4120
IPTV国学,http://115.171.216.32:4000/rtp/225.1.8.237:4120
IPTV爱生活,http://115.171.216.32:4000/rtp/225.1.8.246:4120
IPTV2,http://106.59.2.85:55555/rtp/239.200.200.79:1234
IPTV3综艺,http://106.59.2.85:55555/udp/239.200.200.76:9004
IPTV4,http://106.59.2.85:55555/rtp/239.200.200.71:8012
IPTV6电影,http://106.59.2.85:55555/udp/239.200.201.81:4120
IPTV7,http://106.59.2.85:55555/rtp/239.200.200.10:9008
IPTV8电视剧,http://123.179.63.66:4022/rtp/239.29.1.21:5001
光影,http://115.171.216.32:4000/rtp/225.1.8.244:4120
先锋乒羽,http://106.59.2.85:55555/rtp/239.200.201.33:4120
天元围棋,http://171.213.239.229:8188/udp/239.94.1.152:5140
精彩影视,http://171.213.239.229:8188/udp/239.94.1.172:5140
睛彩青少,http://112.19.88.97:8899/rtp/239.10.0.130:5140
睛彩竞技,http://221.220.129.233:8012/rtp/239.3.1.125:8001
睛彩羽毛球,http://221.220.129.233:8012/rtp/239.3.1.127:8001
睛彩篮球,http://221.220.129.233:8012/rtp/239.3.1.126:8001
睛彩广场,http://221.220.129.233:8012/rtp/239.3.1.128:8001
欢笑剧场,http://171.213.239.229:8188/udp/239.94.1.176:5140
都市剧场,http://36.49.55.163:8800/rtp/239.37.0.241:5540
法治天地,http://36.49.55.163:8800/rtp/239.37.0.238:5540
乐游,http://36.49.55.163:8800/rtp/239.37.0.236:5540
四海钓鱼,http://171.213.239.229:8188/udp/239.94.1.168:5140
金色学堂,http://36.49.55.163:8800/rtp/239.37.0.239:5540
动漫秀场,http://36.49.55.163:8800/rtp/239.37.0.242:5540
生活时尚,http://36.49.55.163:8800/rtp/239.37.0.240:5540
iHOT爱院线,http://171.213.239.229:8188/udp/239.94.1.132:5140
iHOT爱科幻,http://171.213.239.229:8188/udp/239.94.1.131:5140
iHOT爱浪漫,http://171.213.239.229:8188/udp/239.94.1.128:5140
iHOT爱喜剧,http://171.213.239.229:8188/udp/239.94.2.71:5140
iHOT爱都市,http://171.213.239.229:8188/udp/239.93.42.15:5140
iHOT爱悬疑,http://171.213.239.229:8188/udp/239.94.1.136:5140
iHOT爱赛车,http://171.213.239.229:8188/udp/239.94.1.144:5140
iHOT爱奇谈,http://171.213.239.229:8188/udp/239.94.1.130:5140
iHOT爱玩具,http://171.213.239.229:8188/udp/239.94.1.140:5140
iHOT爱旅行,http://171.213.239.229:8188/udp/239.94.1.137:5140
iHOT爱幼教,http://171.213.239.229:8188/udp/239.94.1.139:5140
iHOT爱谍战,http://171.213.239.229:8188/udp/239.94.1.134:5140
iHOT爱历史,http://171.213.239.229:8188/udp/239.94.1.135:5140
iHOT爱动漫,http://171.213.239.229:8188/udp/239.94.1.141:5140
