2026/09/20 08:12更新,#genre#
广西卫视,http://114.254.32.36:18888/rtp/239.3.1.39:8300$北京市联通
厦门卫视,http://49.232.181.26:6000/rtp/225.1.8.166:4120$北京市电信
厦门卫视,http://114.254.32.36:18888/rtp/239.3.1.143:4120$北京市联通
甘肃卫视,http://49.232.181.26:6000/rtp/225.1.8.162:8188$北京市电信
甘肃卫视,http://114.254.32.36:18888/rtp/239.3.1.49:8188$北京市联通
贵州卫视,http://49.232.181.26:6000/udp/225.1.8.77:8076$北京市电信
贵州卫视,http://114.254.32.36:18888/rtp/239.3.1.149:8076$北京市联通
河北卫视,http://49.232.181.26:6000/udp/225.1.8.76:8002$北京市电信
河北卫视,http://114.254.32.36:18888/rtp/239.3.1.148:8072$北京市联通
河南卫视,http://49.232.181.26:6000/rtp/225.1.8.140:8128$北京市电信
河南卫视,http://114.254.32.36:18888/rtp/239.3.1.27:8128$北京市联通
黑龙江卫视,http://49.232.181.26:6000/udp/225.1.8.42:8016$北京市电信
黑龙江卫视,http://114.254.32.36:18888/rtp/239.3.1.133:8016$北京市联通
湖北卫视,http://49.232.181.26:6000/udp/225.1.8.47:8044$北京市电信
湖北卫视,http://114.254.32.36:18888/rtp/239.3.1.138:8044$北京市联通
江西卫视,http://49.232.181.26:6000/udp/225.1.8.171:8166$北京市电信
江西卫视,http://49.232.181.26:6000/rtp/225.1.1.9:8164$北京市电信
江西卫视,http://114.254.32.36:18888/rtp/239.3.1.123:8164$北京市联通
吉林卫视,http://49.232.181.26:6000/rtp/225.1.8.153:8200$北京市电信
吉林卫视,http://114.254.32.36:18888/rtp/239.3.1.240:8172$北京市联通
内蒙古卫视,http://49.232.181.26:6000/rtp/225.1.8.156:8176$北京市电信
内蒙古卫视,http://114.254.32.36:18888/rtp/239.3.1.43:8176$北京市联通
辽宁卫视,http://49.232.181.26:6000/udp/225.1.8.51:8056$北京市电信
辽宁卫视,http://114.254.32.36:18888/rtp/239.3.1.210:8056$北京市联通
宁夏卫视,http://49.232.181.26:6000/rtp/225.1.8.159:8124$北京市电信
宁夏卫视,http://114.254.32.36:18888/rtp/239.3.1.46:8124$北京市联通
青海卫视,http://49.232.181.26:6000/rtp/225.1.8.157:8184$北京市电信
青海卫视,http://114.254.32.36:18888/rtp/239.3.1.44:8184$北京市联通
山东卫视,http://49.232.181.26:6000/udp/225.1.8.50:8052$北京市电信
山东卫视,http://114.254.32.36:18888/rtp/239.3.1.209:8052$北京市联通
山东教育卫视,http://49.232.181.26:6000/rtp/225.1.8.190:4120$北京市电信
山东教育卫视,http://114.254.32.36:18888/rtp/239.3.1.52:4120$北京市联通
山西卫视,http://49.232.181.26:6000/rtp/225.1.8.155:8172$北京市电信
山西卫视,http://114.254.32.36:18888/rtp/239.3.1.42:8172$北京市联通
陕西卫视,http://49.232.181.26:6000/rtp/225.1.8.154:8140$北京市电信
陕西卫视,http://114.254.32.36:18888/rtp/239.3.1.41:8140$北京市联通
天津卫视,http://49.232.181.26:6000/udp/225.1.8.48:8044$北京市电信
天津卫视,http://114.254.32.36:18888/rtp/239.3.1.141:1234$北京市联通
海南卫视,http://49.232.181.26:6000/rtp/225.1.8.158:8304$北京市电信
海南卫视,http://114.254.32.36:18888/rtp/239.3.1.45:8304$北京市联通
新疆卫视,http://49.232.181.26:6000/rtp/225.1.8.161:8160$北京市电信
新疆卫视,http://114.254.32.36:18888/rtp/239.3.1.48:8160$北京市联通
云南卫视,http://49.232.181.26:6000/rtp/225.1.8.139:8108$北京市电信
云南卫视,http://114.254.32.36:18888/rtp/239.3.1.26:8108$北京市联通
西藏卫视,http://49.232.181.26:6000/rtp/225.1.8.160:8164$北京市电信
西藏卫视,http://114.254.32.36:18888/rtp/239.3.1.47:8164$北京市联通
兵团卫视,http://49.232.181.26:6000/rtp/225.1.8.167:4120$北京市电信
兵团卫视,http://114.254.32.36:18888/rtp/239.3.1.144:4120$北京市联通
三沙卫视,http://49.232.181.26:6000/rtp/225.1.8.78:4120$北京市电信
三沙卫视,http://114.254.32.36:18888/rtp/239.3.1.155:4120$北京市联通
4K频道,#genre#
华数爱上4K电影,http://49.232.181.26:6000/rtp/225.1.8.80:2000$北京市电信
华数爱上4K,http://114.254.32.36:18888/rtp/239.3.1.236:2000$北京市联通
数字频道,#genre#
华数经典电影,http://49.232.181.26:6000/rtp/225.1.8.203:9024$北京市电信
华数经典电影,http://114.254.32.36:18888/rtp/239.3.1.195:9024$北京市联通
华数魅力时尚,http://49.232.181.26:6000/rtp/225.1.8.204:9012$北京市电信
华数魅力时尚,http://114.254.32.36:18888/rtp/239.3.1.196:9012$北京市联通
华数热播剧场,http://49.232.181.26:6000/rtp/225.1.8.202:9020$北京市电信
华数热播剧场,http://114.254.32.36:18888/rtp/239.3.1.194:9020$北京市联通
华数星影,http://49.232.181.26:6000/rtp/225.1.8.254:4120$北京市电信
华数星影,http://114.254.32.36:18888/rtp/239.3.1.94:4120$北京市联通
华数喜剧影院,http://49.232.181.26:6000/rtp/225.1.8.251:4120$北京市电信
华数喜剧影院,http://114.254.32.36:18888/rtp/239.3.1.91:4120$北京市联通
武侠剧场,http://49.232.181.26:6000/rtp/225.1.8.250:4120$北京市电信
华数武侠剧场,http://114.254.32.36:18888/rtp/239.3.1.90:4120$北京市联通
华数少儿动画,http://49.232.181.26:6000/rtp/225.1.8.207:9000$北京市电信
华数少儿动画,http://114.254.32.36:18888/rtp/239.3.1.199:9000$北京市联通
华数动画,http://49.232.181.26:6000/rtp/225.1.8.240:4120$北京市电信
华数动画,http://114.254.32.36:18888/rtp/239.3.1.80:4120$北京市联通
华数军旅剧场,http://49.232.181.26:6000/rtp/225.1.8.228:4120$北京市电信
华数军旅剧场,http://114.254.32.36:18888/rtp/239.3.1.68:4120$北京市联通
华数家庭影院,http://49.232.181.26:6000/rtp/225.1.8.253:4120$北京市电信
华数家庭影院,http://114.254.32.36:18888/rtp/239.3.1.93:4120$北京市联通
华数古装剧场,http://49.232.181.26:6000/rtp/225.1.8.229:4120$北京市电信
华数动作影院,http://49.232.181.26:6000/rtp/225.1.8.252:4120$北京市电信
华数动作影院,http://114.254.32.36:18888/rtp/239.3.1.92:4120$北京市联通
华数城市剧场,http://49.232.181.26:6000/rtp/225.1.8.227:4120$北京市电信
华数城市剧场,http://114.254.32.36:18888/rtp/239.3.1.67:4120$北京市联通
武侠剧场,http://49.232.181.26:6000/rtp/225.1.8.250:4120$北京市电信
华数武侠剧场,http://114.254.32.36:18888/rtp/239.3.1.90:4120$北京市联通
华数精选,http://49.232.181.26:6000/rtp/225.1.8.234:4120$北京市电信
华数精选,http://114.254.32.36:18888/rtp/239.3.1.74:4120$北京市联通
IPTV地理,http://49.232.181.26:6000/rtp/225.1.8.231:4120$北京市电信
IPTV地理,http://114.254.32.36:18888/rtp/239.3.1.71:4120$北京市联通
IPTV5足球,http://49.232.181.26:6000/rtp/225.1.8.249:4120$北京市电信
IPTV足球,http://114.254.32.36:18888/rtp/239.3.1.89:4120$北京市联通
IPTV14早教,http://49.232.181.26:6000/rtp/225.1.8.239:4120$北京市电信
IPTV14早教,http://114.254.32.36:18888/rtp/239.3.1.79:4120$北京市联通
IPTV15音乐现场,http://49.232.181.26:6000/rtp/225.1.8.230:4120$北京市电信
IPTV15音乐现场,http://114.254.32.36:18888/rtp/239.3.1.70:4120$北京市联通
IPTV11戏曲,http://49.232.181.26:6000/rtp/225.1.8.238:4120$北京市电信
IPTV11戏曲,http://114.254.32.36:18888/rtp/239.3.1.78:4120$北京市联通
IPTV武术,http://49.232.181.26:6000/rtp/225.1.8.247:4120$北京市电信
IPTV武术,http://114.254.32.36:18888/rtp/239.3.1.87:4120$北京市联通
高网,http://49.232.181.26:6000/rtp/225.1.8.248:4120$北京市电信
台球,http://49.232.181.26:6000/rtp/225.1.8.245:4120$北京市电信
IPTV台球,http://114.254.32.36:18888/rtp/239.3.1.85:4120$北京市联通
IPTV收视指南,http://49.232.181.26:6000/rtp/225.1.8.201:8012$北京市电信
IPTV收视指南,http://114.254.32.36:18888/rtp/239.3.1.193:8012$北京市联通
IPTV鉴赏,http://49.232.181.26:6000/rtp/225.1.8.242:4120$北京市电信
IPTV鉴赏,http://114.254.32.36:18888/rtp/239.3.1.82:4120$北京市联通
IPTV墨宝,http://49.232.181.26:6000/rtp/225.1.8.243:4120$北京市电信
IPTV墨宝,http://114.254.32.36:18888/rtp/239.3.1.83:4120$北京市联通
IPTV美人,http://49.232.181.26:6000/rtp/225.1.8.233:4120$北京市电信
IPTV美人,http://114.254.32.36:18888/rtp/239.3.1.73:4120$北京市联通
IPTV7军事,http://49.232.181.26:6000/rtp/225.1.8.236:4120$北京市电信
IPTV7军事,http://114.254.32.36:18888/rtp/239.3.1.76:4120$北京市联通
IPTV10解密,http://49.232.181.26:6000/rtp/225.1.8.235:4120$北京市电信
IPTV10解密,http://114.254.32.36:18888/rtp/239.3.1.75:4120$北京市联通
IPTV美妆,http://49.232.181.26:6000/rtp/225.1.8.232:4120$北京市电信
IPTV美妆,http://114.254.32.36:18888/rtp/239.3.1.72:4120$北京市联通
IPTV好学生,http://49.232.181.26:6000/rtp/225.1.8.241:4120$北京市电信
IPTV好学生,http://114.254.32.36:18888/rtp/239.3.1.81:4120$北京市联通
IPTV国学,http://49.232.181.26:6000/rtp/225.1.8.237:4120$北京市电信
IPTV国学,http://114.254.32.36:18888/rtp/239.3.1.77:4120$北京市联通
IPTV爱生活,http://49.232.181.26:6000/rtp/225.1.8.246:4120$北京市电信
IPTV爱生活,http://114.254.32.36:18888/rtp/239.3.1.86:4120$北京市联通
北京IPTV4K超清,http://49.232.181.26:6000/rtp/225.1.8.211:8002$北京市电信
北京IPTV4K超清,http://114.254.32.36:18888/rtp/239.3.1.249:8001$北京市联通
光影,http://49.232.181.26:6000/rtp/225.1.8.244:4120$北京市电信
光影,http://114.254.32.36:18888/rtp/239.3.1.84:4120$北京市联通
睛彩竞技,http://114.254.32.36:18888/rtp/239.3.1.125:8001$北京市联通
睛彩羽毛球,http://114.254.32.36:18888/rtp/239.3.1.127:8001$北京市联通
睛彩篮球,http://114.254.32.36:18888/rtp/239.3.1.126:8001$北京市联通
睛彩广场舞,http://114.254.32.36:18888/rtp/239.3.1.128:8001$北京市联通
北京卡酷少儿,http://49.232.181.26:6000/udp/225.1.8.35:8000$北京市电信
北京卡酷少儿,http://114.254.32.36:18888/rtp/239.3.1.189:8000$北京市联通
嘉佳卡通,http://49.232.181.26:6000/rtp/225.1.8.170:9268$北京市电信
嘉佳卡通,http://114.254.32.36:18888/rtp/239.3.1.147:9268$北京市联通
茶频道,http://49.232.181.26:6000/rtp/225.1.8.72:8002$北京市电信
湖南茶频道,http://114.254.32.36:18888/rtp/239.3.1.165:8001$北京市联通
金鹰卡通,http://49.232.181.26:6000/rtp/225.1.8.163:9252$北京市电信
金鹰卡通,http://114.254.32.36:18888/rtp/239.3.1.51:9252$北京市联通
金鹰纪实,http://49.232.181.26:6000/rtp/225.1.8.31:8156$北京市电信
湖南金鹰纪实,http://114.254.32.36:18888/rtp/239.3.1.58:8156$北京市联通
快乐垂钓,http://49.232.181.26:6000/rtp/225.1.8.71:8002$北京市电信
湖南快乐垂钓,http://114.254.32.36:18888/rtp/239.3.1.164:8001$北京市联通
北京纪实科教,http://49.232.181.26:6000/udp/225.1.8.105:8002$北京市电信
北京纪实科教,http://114.254.32.36:18888/rtp/239.3.1.115:8000$北京市联通
☘️北京市,#genre#
北京国际频道,http://49.232.181.26:6000/rtp/225.1.8.131:8002$北京市电信
北京国际频道,http://114.254.32.36:18888/rtp/239.3.1.235:8000$北京市联通
北京影视频道,http://49.232.181.26:6000/udp/225.1.8.82:8000$北京市电信
北京影视,http://114.254.32.36:18888/rtp/239.3.1.158:8000$北京市联通
北京新闻频道,http://49.232.181.26:6000/udp/225.1.8.83:8000$北京市电信
北京新闻,http://114.254.32.36:18888/rtp/239.3.1.159:8000$北京市联通
北京生活频道,http://49.232.181.26:6000/udp/225.1.8.108:8002$北京市电信
北京生活,http://114.254.32.36:18888/rtp/239.3.1.117:8000$北京市联通
北京文艺频道,http://49.232.181.26:6000/udp/225.1.8.22:8002$北京市电信
北京文艺,http://114.254.32.36:18888/rtp/239.3.1.242:8000$北京市联通
北京财经频道,http://49.232.181.26:6000/udp/225.1.8.106:8002$北京市电信
北京财经,http://114.254.32.36:18888/rtp/239.3.1.116:8000$北京市联通
北京IPTV淘BABY,http://49.232.181.26:6000/rtp/225.1.8.36:8002$北京市电信
淘BABY,http://114.254.32.36:18888/rtp/239.3.1.238:8001$北京市联通
北京IPTV淘娱乐,http://49.232.181.26:6000/rtp/225.1.8.61:8002$北京市电信
淘娱乐,http://114.254.32.36:18888/rtp/239.3.1.100:8001$北京市联通
北京IPTV萌宠TV,http://49.232.181.26:6000/rtp/225.1.8.63:8002$北京市电信
萌宠TV,http://114.254.32.36:18888/rtp/239.3.1.102:8001$北京市联通
北京体育休闲,http://49.232.181.26:6000/udp/225.1.8.23:8002$北京市电信
北京体育休闲,http://114.254.32.36:18888/rtp/239.3.1.243:8000$北京市联通
北京IPTV淘电影,http://49.232.181.26:6000/rtp/225.1.8.38:8002$北京市电信
淘电影,http://114.254.32.36:18888/rtp/239.3.1.250:8001$北京市联通
北京IPTV淘剧场,http://49.232.181.26:6000/rtp/225.1.8.37:8002$北京市电信
淘剧场,http://114.254.32.36:18888/rtp/239.3.1.95:8001$北京市联通
朝阳融媒,http://49.232.181.26:6000/rtp/225.1.8.69:8002$北京市电信
朝阳融媒,http://114.254.32.36:18888/rtp/239.3.1.163:8001$北京市联通
通州融媒,http://114.254.32.36:18888/rtp/239.3.1.221:8001$北京市联通
房山电视台,http://49.232.181.26:6000/rtp/225.1.8.68:8002$北京市电信
房山电视台,http://114.254.32.36:18888/rtp/239.3.1.96:8001$北京市联通
密云电视台,http://49.232.181.26:6000/rtp/225.1.8.75:8002$北京市电信
密云电视台,http://114.254.32.36:18888/rtp/239.3.1.154:8001$北京市联通
延庆电视台,http://114.254.32.36:18888/rtp/239.3.1.187:8001$北京市联通
☘️重庆市,#genre#
古装剧场,http://114.254.32.36:18888/rtp/239.3.1.69:4120$北京市联通
