央视频道,#genre#
江苏卫视4K,http://113.251.74.222:8012/rtp/235.254.197.191:7980$重庆电信
广东卫视4K,http://113.251.74.222:8012/rtp/235.254.197.55:7980$重庆电信
深圳卫视4K,http://113.251.74.222:8012/rtp/235.254.197.56:7980$重庆电信
浙江卫视4K,http://113.251.74.222:8012/rtp/235.254.197.194:7980$重庆电信
数字频道,#genre#
华数电影4K,http://113.251.74.222:8012/rtp/235.254.198.102:7980$重庆电信
卡酷少儿,http://113.251.74.222:8012/rtp/235.254.198.49:1472$重庆电信
金鹰卡通,http://113.251.74.222:8012/rtp/235.254.198.50:1476$重庆电信
嘉佳卡通,http://113.251.74.222:8012/rtp/235.254.198.110:1716$重庆电信
动漫秀场,http://113.251.74.222:8012/rtp/235.254.197.47:7980$重庆电信
优优宝贝,http://113.251.74.222:8012/rtp/235.254.197.137:7980$重庆电信
CHC动作电影,http://113.251.74.222:8012/rtp/235.254.198.247:7980$重庆电信
CHC家庭影院,http://113.251.74.222:8012/rtp/235.254.198.246:7980$重庆电信
CHC影迷电影,http://113.251.74.222:8012/rtp/235.254.198.248:7980$重庆电信
华数少儿动画,http://113.251.74.222:8012/rtp/235.254.198.116:1740$重庆电信
华数动画,http://113.251.74.222:8012/rtp/235.254.198.87:1624$重庆电信
华数武侠剧场,http://113.251.74.222:8012/rtp/235.254.198.97:1664$重庆电信
华数喜剧影院,http://113.251.74.222:8012/rtp/235.254.198.98:1668$重庆电信
华数动作影院,http://113.251.74.222:8012/rtp/235.254.198.99:1672$重庆电信
华数家庭影院,http://113.251.74.222:8012/rtp/235.254.198.100:1676$重庆电信
华数星影,http://113.251.74.222:8012/rtp/235.254.198.101:1680$重庆电信
华数精选,http://113.251.74.222:8012/rtp/235.254.198.81:1600$重庆电信
华数经典电影,http://113.251.74.222:8012/rtp/235.254.198.114:1732$重庆电信
华数城市剧场,http://113.251.74.222:8012/rtp/235.254.198.74:1572$重庆电信
华数军旅剧场,http://113.251.74.222:8012/rtp/235.254.198.75:1576$重庆电信
华数谍战剧场,http://113.251.74.222:8012/rtp/235.254.198.117:1744$重庆电信
华数魅力时尚,http://113.251.74.222:8012/rtp/235.254.198.115:1736$重庆电信
梨园频道,http://113.251.74.222:8012/rtp/235.254.199.163:7980$重庆电信
欢笑剧场,http://113.251.74.222:8012/rtp/235.254.197.150:7980$重庆电信
快乐垂钓,http://113.251.74.222:8012/rtp/235.254.199.191:7980$重庆电信
IPTV6华数电影,http://113.251.74.222:8012/rtp/235.254.198.15:1336$重庆电信
光影,http://113.251.74.222:8012/rtp/235.254.198.91:1640$重庆电信
IPTV3综艺,http://113.251.74.222:8012/rtp/235.254.198.13:1328$重庆电信
IPTV8电视剧,http://113.251.74.222:8012/rtp/235.254.198.16:1340$重庆电信
IPTV相声小品,http://113.251.74.222:8012/rtp/235.254.198.118:1748$重庆电信
IPTV10野外,http://113.251.74.222:8012/rtp/235.254.198.119:1752$重庆电信
IPTV11戏曲,http://113.251.74.222:8012/rtp/235.254.198.85:1616$重庆电信
IPTV12法治,http://113.251.74.222:8012/rtp/235.254.198.120:1756$重庆电信
IPTV14早教,http://113.251.74.222:8012/rtp/235.254.198.86:1620$重庆电信
IPTV15音乐,http://113.251.74.222:8012/rtp/235.254.198.77:1584$重庆电信
IPTV地理,http://113.251.74.222:8012/rtp/235.254.198.78:1588$重庆电信
IPTV美妆,http://113.251.74.222:8012/rtp/235.254.198.79:1592$重庆电信
IPTV美人,http://113.251.74.222:8012/rtp/235.254.198.80:1596$重庆电信
IPTV解密,http://113.251.74.222:8012/rtp/235.254.198.82:1604$重庆电信
IPTV7军事,http://113.251.74.222:8012/rtp/235.254.198.83:1608$重庆电信
IPTV国学,http://113.251.74.222:8012/rtp/235.254.198.84:1612$重庆电信
IPTV好学生,http://113.251.74.222:8012/rtp/235.254.198.88:1628$重庆电信
IPTV鉴赏,http://113.251.74.222:8012/rtp/235.254.198.89:1632$重庆电信
IPTV墨宝,http://113.251.74.222:8012/rtp/235.254.198.90:1636$重庆电信
IPTV爱生活,http://113.251.74.222:8012/rtp/235.254.198.93:1648$重庆电信
IPTV武术,http://113.251.74.222:8012/rtp/235.254.198.94:1652$重庆电信
IPTV足球,http://113.251.74.222:8012/rtp/235.254.198.96:1660$重庆电信
求索记录,http://113.251.74.222:8012/rtp/235.254.199.251:7980$重庆电信
☘️重庆市,#genre#
重庆社会与法,http://113.251.74.222:8012/rtp/235.254.198.181:7980$重庆电信
重庆红岩文化,http://113.251.74.222:8012/rtp/235.254.198.182:7980$重庆电信
重庆文体娱乐,http://113.251.74.222:8012/rtp/235.254.198.187:7980$重庆电信
重庆新农村,http://113.251.74.222:8012/rtp/235.254.198.186:7980$重庆电信
重广融媒,http://113.251.74.222:8012/rtp/235.254.196.218:1146$重庆电信
重庆移动频道,http://113.251.74.222:8012/rtp/235.254.196.217:1140$重庆电信
开州综合,http://113.251.74.222:8012/rtp/235.254.198.145:1870$重庆电信
百视通精彩导视,http://113.251.74.222:8012/rtp/235.254.196.101:1162$重庆电信
热播剧场,http://113.251.74.222:8012/rtp/235.254.198.113:1728$重庆电信
古装剧场,http://113.251.74.222:8012/rtp/235.254.198.76:1580$重庆电信
☘️天津市,#genre#
重庆汽摩,http://113.251.74.222:8012/rtp/235.254.196.221:1156$重庆电信
☘️新疆,#genre#
丰都综合,http://113.251.74.222:8012/rtp/235.254.199.221:7980$重庆电信
城口综合,http://113.251.74.222:8012/rtp/235.254.199.218:7980$重庆电信
巫山综合,http://113.251.74.222:8012/rtp/235.254.199.212:7980$重庆电信
武隆综合,http://113.251.74.222:8012/rtp/235.254.199.227:7980$重庆电信
石柱综合,http://113.251.74.222:8012/rtp/235.254.199.224:7980$重庆电信
酉阳综合,http://113.251.74.222:8012/rtp/235.254.199.236:7980$重庆电信
4K频道,#genre#
华数爱上4K,http://113.251.74.222:8012/rtp/235.254.198.102:7980$重庆电信
☘️上海市,#genre#
东方财经,http://113.251.74.222:8012/rtp/235.254.199.103:7980$重庆电信
