卫视频道,#genre#
CGTN纪录,http://112.109.206.180:9999/rtp/239.255.40.183:8208$福建联通
中国天气,http://112.109.206.180:9999/rtp/239.255.40.89:8208$福建联通
中国交通,http://112.109.206.180:9999/rtp/239.255.40.211:8208$福建联通
数字频道,#genre#
睛彩青少,http://112.109.206.180:9999/rtp/239.255.40.207:8208$福建联通
睛彩竞技,http://112.109.206.180:9999/rtp/239.255.40.208:8208$福建联通
睛彩篮球,http://112.109.206.180:9999/rtp/239.255.40.209:8208$福建联通
睛彩广场舞,http://112.109.206.180:9999/rtp/239.255.40.210:8208$福建联通
华数电影,http://112.109.206.180:9999/rtp/239.255.40.64:8208$福建联通
华数谍战剧场,http://112.109.206.180:9999/rtp/239.255.40.58:8208$福建联通
华数经典电影,http://112.109.206.180:9999/rtp/239.255.40.70:8208$福建联通
华数热播剧场,http://112.109.206.180:9999/rtp/239.255.40.69:8208$福建联通
华数影视,http://112.109.206.180:9999/rtp/239.255.40.159:8208$福建联通
华数少儿动画,http://112.109.206.180:9999/rtp/239.255.40.66:8208$福建联通
卡酷少儿,http://112.109.206.180:9999/rtp/239.255.40.24:8208$福建联通
金鹰卡通,http://112.109.206.180:9999/rtp/239.255.40.25:8208$福建联通
嘉佳卡通,http://112.109.206.180:9999/rtp/239.255.40.26:8208$福建联通
金鹰纪实,http://112.109.206.180:9999/rtp/239.255.40.57:8208$福建联通
北京纪实科教,http://112.109.206.180:9999/rtp/239.255.40.205:8208$福建联通
IPTV3综艺,http://112.109.206.180:9999/rtp/239.255.40.68:8208$福建联通
IPTV体育,http://112.109.206.180:9999/rtp/239.255.40.71:8208$福建联通
IPTV3+,http://112.109.206.180:9999/rtp/239.255.40.62:8208$福建联通
IPTV法治,http://112.109.206.180:9999/rtp/239.255.40.61:8208$福建联通
IPTV相声小品,http://112.109.206.180:9999/rtp/239.255.40.59:8208$福建联通
IPTV魅力时尚,http://112.109.206.180:9999/rtp/239.255.40.67:8208$福建联通
IPTV野外,http://112.109.206.180:9999/rtp/239.255.40.60:8208$福建联通
